"JobPK","ClientFK","SiteFK","JobTitle","JobDescription","FeatureScore","FeaturedAdvert","LiveDate","CreateDate","ExpiryDate","HideContactDetails","JobLogo","JobRef","SalaryMin","SalaryMax","SalaryFrame","SalaryDesc","Email","CompanyName","nJobSectorVal","sJobSectorDesc","nJobRoleVal","sJobRoleDesc","nJobTypeVal","sJobTypeDesc","nTownCityVal","sTownCityDesc","sLocationVal","sLocationDesc","NoApplications","NoSearches","NoViews"
"1439655","14746","136","Design Engineer","<p>Design Engineer</p> <p>Design engineer required for sucessful and expanding timber frame self build construction company.</p> <p>You should ideally have a good knowledge of timber frame design, ideally both open and closed panel and have extensive knowledge of CAD based design.</p> <p>The client is currently using hsbCAD software for our timber frame design and Wolf software for our roof truss and metalweb joist design, while it is not a necessity having experience of either of these suites of design software would be an advantage.<br />This is a permanent position that is hourly paid allowing excellent earning potential.</p> <p>Salary: £25k per annum<br />Locations : Colchester</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. </p>","0","False","20/12/2013 12:07:47","09/10/2013 09:20:29","17/01/2014","False","","CSS15790","2500000","2500000","5","Negotiable ,dependant on experience","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30052, 30054","Industrial, Commercial - Permanent","","","29814","Permanent","30206","Essex","Colchester","Colchester","1","5965","244"
"1438851","14746","136","Sales Consultant","<p>Are you an enthusiastic and target driven individual?</p><p>Fantastic opportunity for a Sales Consultant based in Colchester has arisen for a comparison website company.</p><p>Strong MS Office experience and excellent communication skills are essential for this role.</p><p>Previous insurance/vehicle experience is very advantageous. </p><p>Full training will be provided alongside sales and customer service course.</p><p>£15k per annum plus uncapped commission<br />£21k per annum OTE</p>","1","False","20/12/2013 11:56:43","02/10/2013 13:36:44","17/01/2014","False","","CSS15789","1500000","1500000","5","+ Commission","laura.hammond@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30054","Commercial - Permanent","30139","Sales and Marketing - Perm","29814","Permanent","30206","Essex","Colchester","Colchester","2","11014","514"
"1435280","14746","136","Senior Asbestos Surveyor","<p>Senior Asbestos Surveyor</p> <p>Exciting opportunity to join the area's most respected and established Asbestos Consultancy Company. </p> <p>Working as part of this busy team you will hit the ground running working on various site surveys across the region.</p> <p>You should be P402 qualified or equivalent with a minimum of 6 months experience of refurbishment &amp; demolition surveying.<br />Breaking down the role you will be responsible for:</p> <p>Ensuring all appropriate team members read understands and sign method statements.<br />To carry out all surveys in accordance with HSG 264 and any in-house procedures.<br />Have a controlled copy of 'HSG 264' available when working, and current copies of the procedures manual, quality manual and other relevant documentation.<br />To make an assessment of ACM's by visual and sampling techniques and carry out sampling in accordance with inspection procedures and duties<br />To ensure that all relevant documentation is completed correctly such as tick sheets, survey logs, lab sheets and drawings. All non ACM's should be noted on the drawing(s) clearly indicating their location and description.<br />All no access areas should be logged and valid reasons given.</p> <p>Salary: £25,000 - £30,000k<br />Location: Essex </p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. <br /></p>","0","False","20/12/2013 11:45:51","04/09/2013 09:39:37","17/01/2014","False","","CSS15736R","2500000","3000000","5","","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30050","Building and Construction - Permanent","","","29814","Permanent","30206","Essex","Near Wickford","Near Wickford","1","6443","323"
"1448548","14746","136","Estimator - Construction/ Civils","<p>Estimator - Construction/Civils</p> <p>Groundworks, highways, civil engineering estimator&nbsp; - Are you looking for your 2nd career move in construction or civil engineering ?<br />This leading infrastructure construction organisation have an opportunity for a junior or intermediate estimator to join their successful team.</p> <p>You should have a minimum of 2 years in an estimating environment; excellent IT and communication skills, a good base understanding and/or formal qualification in civil engineering and be prepared to learn and support the team. The role involves:</p> <p>Tender documents administration<br />Estimation reports<br />Risk price and analysis<br />Materials, Labour &amp; plant appraisal</p> <p>Location : North London, salary £23 to 30k</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. </p>","0","False","20/12/2013 11:38:45","20/12/2013 11:38:45","17/01/2014 11:38:45","False","","CSS15693","2300000","3000000","5","Negotiable","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30050","Building and Construction - Permanent","","","29814","Permanent","30217","London","North London","North London","0","341","18"
"1448524","14746","136","Construction Logistics Manager","<p><strong><u>Construction Logistics Manager</u></strong></p> <p><br />We are currently looking to employ a Construction Logistics Manager to help set up, develop, manage &amp; run a new division of our company.<br />The construction logistics manager will be responsible for all aspects of the logistics supply chain, stores management, development and optimisation of site logistics solutions to meet the needs of client projects. </p> <p>The logistics manager will be required to manage the movement of people, goods and equipment at the construction site and control site facilities management.<br />Key interfaces that the logistics manager must ensure early engagement with are: the project planner; the commercial managers procuring the works and the senior construction manager on the site. </p> <p>The construction logistics manager should ensure that the construction team is fully aware of logistics activities in support of the build program.</p> <p><br />Location; Braintree, Essex but job role will involve traveling to site throughout the South East of England.</p> <p>Salary – Negotiable depending on experience</p>","0","False","20/12/2013 09:57:04","20/12/2013 09:57:04","17/01/2014 09:57:04","False","","LM22","0","0","5","Negotiable","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30054","Commercial - Permanent","","","29814","Permanent","30206","Essex","Braintree","Braintree","1","352","23"
"1448457","14746","136","Manufacturing Manager","<p align=center><strong><u>Manufacturing Manager</u></strong></p> <p>Established manufacturer of cast and machined engine parts for the automotive industry are looking to recruit a Manufacturing Manager to direct and co-ordinate activities within the foundry and machine shop.</p> <p>You will plan, direct and co-ordinate activities of die casting facilities and establish production priorities for products in keeping with effective operations and cost factors.</p> <p><strong><u>Further duties will include:<br /></u></strong>Supervise Shift Supervisors, Section Leaders and production staff, and purchasing staff.<br />Co-ordinate production machining activities with procurement, maintenance, and quality control activities to obtain optimum production and utilisation of all resources<br />Review material resources and ensure that supplies are available <br />Supervise purchase of all existing production components<br />Review regularly and implement cost reduction projects, ensuring cost reductions in all areas to meet company pre-set budget requirements<br />Inspect machines and equipment to ensure specific operational performance and optimum utilisation<br />Review production and operating reports and resolve operational, manufacturing, and maintenance<br />Plan production operations, establishing priorities and sequences for manufacturing products<br />Prepare operational schedules and coordinate manufacturing activities to ensure production and quality of products meets specifications</p> <p>You should an understanding of working in the automotive industry and be able to demonstrate how you have applied continuous improvement methodologies successfully.</p> <p>Management of a machining function experience is required alongside experience managing high volume products into mass production environment within timing plans, incorporating machine capacity planning and labour allocation </p> <p>£40-50k per annum, negotiable, dependant on experience</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. <br /></p>","0","False","19/12/2013 16:25:50","19/12/2013 16:25:50","16/01/2014 16:25:50","False","","CSS15909","4000000","5000000","5","Negotiable, dependant on experience","recruitment@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30050, 30052","Building and Construction - Permanent, Industrial","","","29814","Permanent","30206","Essex","Witham","Witham","2","392","30"
"1429967","14746","136","Architectural Technicians","<p></p> <p>Architectural Technicians</p> <p></p> <p>Successful, solid and rapidly expanding construction company require a number of Architectural Technicians to help in their expansion.</p> <p>All levels of experience considered but you should have a solid understanding of building regulations and the ability to produce detailed working drawings. You should have HNC or HND in Building studies and ideally be a MBIAT .</p> <p>Working as part of a successful team, the roles involve working in teams and projects and conducting supported site visits. </p> <p>&nbsp;</p>","0","False","19/12/2013 14:28:05","19/07/2013 17:19:09","16/01/2014","False","","CSS15685R","0","0","5","Excellent","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30054","Commercial - Permanent","","","29814","Permanent","30210","Hertfordshire","Bishops Stortford","Bishops Stortford","4","5978","369"
"1448414","14746","136","Facilities System Coordinator","<p align=center><strong><u>Facilities System Coordinator</u></strong></p> <p>Have you served a recognised electrical/mechanical or Building Services apprenticeship?<br />Our client is an established Facilities Management company providing services to customers from numerous different sectors in the UK.&nbsp; </p> <p>They are looking to recruit a Facilities System Coordinator to join their busy team based in Prestwick, on full time permanent basis. </p> <p><strong><u>Role:<br /></u></strong>Administration of subcontractor callout (normal and emergency) and subsequent service documentation<br />Perform Locus of Control duties during Operational Switching.<br />Operation and monitoring of FM Control Room head end systems - BMS, Fire Management, Electrical Management System, Operational Lighting systems, Battery monitoring systems.<br />Provide technical support for spares /consumables<br />Administer the help desk function for all FM reactive work<br />Update of concept database, energy data collection and reporting<br />Work with FM Managers in developing Scenario training - developing knowledge of site systems/failure cause and effect<br />Assisting maintenance coordinator with procedure updates<br />Carry out duty of HV AP<br />Organising the completion of M&amp;E and B&amp;C ppm activities<br />Access risk assessments/method statements for reactive work where required</p> <p>£28-32k per annum, negotiable dependant on experience</p> <p>Shift work pattern - 4 days on/4 days off/4 nights on/4 nights off - repeating<br />Shift =06:00 - 18:00/18:00 - 06:00</p> <p>The individual must be willing to undergo DV clearance</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. </p>","0","False","19/12/2013 14:23:18","19/12/2013 14:23:18","16/01/2014 14:23:18","False","","CSS15746","2800000","3200000","5","Negotiable","recruitment@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30050","Building and Construction - Permanent","","","29814","Permanent","30227","Scotland","Prestwick","Prestwick","3","369","40"
"1448301","14746","136","Senior Quantity Surveyor","<p>Senior Quantity Surveyor</p> <p>Senior Quantity Surveyor required by expanding services division of large construction organisation. <br />This is an urgent permanent requirment and will be working initially on a prestigous 10M build.&nbsp; <br />Your experience should be construction bias so as to add to the existing M&amp;E experience of the team, although process and M&amp;E expereince are also desirable / considered.<br />You should be experienced with the effective sourcing, negotiation of sub-contract work; <br />Reviewing and reporting on cost estimates and plans including preliminaries, sub-contract &amp; material costs.<br />You will take responsibility for the authorisation of sub contract payments (including interim applications) and final accounts as well as agreeing variation values. <br />You will likely have a track record of working on 5M+ projects.</p> <p>Location: Glasgow, Scotland<br />Salary: £55k per annum</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. </p>","0","False","18/12/2013 16:26:25","18/12/2013 16:26:25","15/01/2014 16:26:25","False","","CSS15908","5500000","5500000","5","","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30050","Building and Construction - Permanent","","","29814","Permanent","30227","Scotland","Glasgow","Glasgow","0","531","33"
"1448298","14746","136","Senior Quantity Surveyor","<p>Senior Quantity Surveyor</p> <p>Strong commercial Quantity Surveyor required by expanding services division of large construction organisation.&nbsp; <br />Initially to play a crucial role working on this large flagship datacenter project your experience should be construction bias&nbsp; so as to add to the existing M&amp;E experience of the team.<br />You should be experienced with the effective sourcing, negotiation of sub-contract work; <br />Reviewing and reporting on cost estimates and plans including preliminaries, sub-contract &amp; material costs.<br />You will take responsibility for the authorisation of sub contract payments (including interim applications) and final accounts as well as agreeing variation values. <br />You will likely have a track record of working on 25M+ projects.</p> <p>Location: London<br />Salary: £55-60k per annum</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. <br /></p>","0","False","18/12/2013 16:22:09","18/12/2013 16:22:09","15/01/2014 16:22:09","False","","CSS15907","5500000","6000000","5","","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30050","Building and Construction - Permanent","","","29814","Permanent","30217","London","London","London","0","533","27"
"1448213","14746","136","CNC Turner","<p>CNC Turner</p> <p>CNC Turner required by small sub contract precision engineering company. <br />As a programmer/ setter / Operator you should be confident in programming CNC lathes from drawings in Fanuc and working in range of materials and sizes.</p> <p>This is a permanent role.<br />Starting Pay rate dependant on level of experience; £10 to £13 per hour.</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. <br /></p>","0","False","18/12/2013 11:50:12","18/12/2013 11:50:12","15/01/2014 11:50:12","False","","CSS15906","1000","1300","1","Negotiable","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30050, 30052, 30054","Building and Construction - Permanent, Industrial, Commercial - Permanent","","","29814","Permanent","30208","Hampshire","Southampton","Southampton","0","567","32"
"1448002","14746","136","Purchasing Administrator","<p>Purchasing Administrator</p> <p>Established &amp; expanding Building and refurbishment construction contractor have this new role assisting with the procurement of sub-contract services, materials supply and plant hire equipment. The role also involves departmental administrative duties.</p> <p>You should have a general knowledge of the construction industry to include materials, methods and procurement processes. You will be able to appraise and compare the suitability of sub-contractors and suppliers.</p> <p>The role supports the senior buyers and the purchasing team running various projects, with its administration and organising the supply and call off of required materials and plant.</p> <p>Full spec on application.</p> <p>CSS operate as an employment agency and an employment business; we aim to respond to all&nbsp; applications. You will be advised if we are registering your details for future considerations. <br /></p>","0","False","17/12/2013 10:53:21","17/12/2013 10:53:21","14/01/2014 10:53:21","False","","CSS15837","1800000","2200000","5","Negotiable","richard.tillbrook@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30050","Building and Construction - Permanent","","","29814","Permanent","30210","Hertfordshire","Hoddesdon","Hoddesdon","0","613","40"
"1447958","14746","136","Sales Executives","<p style=MARGIN: 0cm 0cm 0pt>Our client is an established parcel courier and delivery contractor with a nationwide distribution network.&nbsp; With increasing customer demand, they are looking for new site-based Sales Executives to develop their driver network in the following areas;</p> <p style=MARGIN: 0cm 0cm 0pt>London</p> <p style=MARGIN: 0cm 0cm 0pt>Peterborough</p> <p style=MARGIN: 0cm 0cm 0pt>Swindon</p> <p style=MARGIN: 0cm 0cm 0pt>Birmingham</p> <p style=MARGIN: 0cm 0cm 0pt>Scotland&nbsp;&nbsp; </p> <p style=MARGIN: 0cm 0cm 0pt>&nbsp;</p> <p style=MARGIN: 0cm 0cm 0pt>This is offered on a full time, long term temporary basis with a bonus scheme included.</p> <p style=MARGIN: 0cm 0cm 0pt>&nbsp;</p> <p style=MARGIN: 0cm 0cm 0pt>ROLE</p> <p style=MARGIN: 0cm 0cm 0pt>Arrange client meetings to discuss vehicle rental service.</p> <p style=MARGIN: 0cm 0cm 0pt>Conduct Depot visits for clients to inspect their fleet vehicles.</p> <p style=MARGIN: 0cm 0cm 0pt>Provide information on vehicle supply according to current credit legislation.</p> <p style=MARGIN: 0cm 0cm 0pt>Complete vehicle handover to the client, including vehicle condition report.</p> <p style=MARGIN: 0cm 0cm 0pt 36pt; mso-add-space: auto class=MsoListParagraph>&nbsp;</p> <p style=MARGIN: 0cm 0cm 0pt>CANDIDATE</p> <p style=MARGIN: 0cm 0cm 0pt>Previous experience in a similar sales role, preferably from the automotive sector.</p> <p style=MARGIN: 0cm 0cm 0pt>Knowledge of consumer credit legislation desirable but not essential.</p> <p style=MARGIN: 0cm 0cm 0pt>Flexible working attitude.</p> <p style=MARGIN: 0cm 0cm 0pt>Excellent communication and computer literacy skills.</p> <p style=MARGIN: 0cm 0cm 0pt>Full UK Driving licence.</p> <p style=MARGIN: 0cm 0cm 0pt>&nbsp;</p> <p style=MARGIN: 0cm 0cm 0pt>SALARY</p> <p style=MARGIN: 0cm 0cm 0pt>£9.62 per hour + vehicle + bonus scheme</p>","0","False","16/12/2013 16:57:05","16/12/2013 16:57:05","13/01/2014 16:57:05","False","","Mark Bird","962","962","1","","mark.bird@csspeople.co.uk","CSS Recruitment & Training Services Ltd","30051","Building and Construction - Temporary","","","29815","Temporary","30217","London","London","London","1","844","49"
